cod_matricula,importe_matricula,modalidad,fec_matricula_original,meses_duracion_original,fecha_inicio_reconocimiento_original,fecha_fin_reconocimiento_original,fecha_inicio_producto_original,fecha_fin_producto_original,fecha_inicio_reparto_calculada,fecha_fin_reparto_calculada,origen_fechas_calculadas
CLFC270,120,ONLINE,2025-03-13,4.0,,,,,2025-03-13,2025-03-13,ONLINE: fec_matricula
CLFC231,456,PRESENCIAL,2025-03-12,0.0,2025-04-12,2025-06-15,2025-04-12,2025-06-15,2025-04-12,2025-06-15,Reconocimiento
CLFC225,665,PRESENCIAL,2025-03-12,0.0,2025-04-26,2025-06-15,2025-04-26,2025-06-15,2025-04-26,2025-06-15,Reconocimiento
CLFC293,150,ONLINE,2025-03-15,4.0,,,,,2025-03-15,2025-03-15,ONLINE: fec_matricula
CLFC220,572,ONLINE,2025-03-11,12.0,,,,,2025-03-11,2025-03-11,ONLINE: fec_matricula
CLFC271,95,ONLINE,2025-03-14,4.0,,,,,2025-03-14,2025-03-14,ONLINE: fec_matricula
CLFC420,120,ONLINE,2025-03-23,4.0,,,,,2025-03-23,2025-03-23,ONLINE: fec_matricula
CLFC421,133,ONLINE,2025-03-23,4.0,,,,,2025-03-23,2025-03-23,ONLINE: fec_matricula
CLFC423,120,ONLINE,2025-03-23,4.0,,,,,2025-03-23,2025-03-23,ONLINE: fec_matricula
CLFC426,180,ONLINE,2025-03-23,4.0,,,,,2025-03-23,2025-03-23,ONLINE: fec_matricula
CLFC109,380,PRESENCIAL,2025-03-03,0.0,2025-03-28,2025-03-30,2025-03-28,2025-03-30,2025-03-28,2025-03-30,Reconocimiento
CLFC396,230,ONLINE,2025-03-21,4.0,,,,,2025-03-21,2025-03-21,ONLINE: fec_matricula
CLFC58,0,ONLINE,2025-02-26,4.0,,,,,2025-02-26,2025-02-26,ONLINE: fec_matricula
CLFC73,320,ONLINE,2025-02-27,4.0,,,,,2025-02-27,2025-02-27,ONLINE: fec_matricula
CLFC74,185,ONLINE,2025-02-27,4.0,,,,,2025-02-27,2025-02-27,ONLINE: fec_matricula
CLFC75,185,ONLINE,2025-02-27,4.0,,,,,2025-02-27,2025-02-27,ONLINE: fec_matricula
CLFC295,320,ONLINE,2025-03-15,4.0,,,,,2025-03-15,2025-03-15,ONLINE: fec_matricula
CLFC300,148,ONLINE,2025-03-15,4.0,,,,,2025-03-15,2025-03-15,ONLINE: fec_matricula
CLFC315,355,ONLINE,2025-03-17,4.0,,,,,2025-03-17,2025-03-17,ONLINE: fec_matricula
CLFC317,165,ONLINE,2025-03-17,4.0,,,,,2025-03-17,2025-03-17,ONLINE: fec_matricula
CLFC325,165,ONLINE,2025-03-17,4.0,,,,,2025-03-17,2025-03-17,ONLINE: fec_matricula
CLFC326,165,ONLINE,2025-03-17,4.0,,,,,2025-03-17,2025-03-17,ONLINE: fec_matricula
CLFC328,230,ONLINE,2025-03-17,4.0,,,,,2025-03-17,2025-03-17,ONLINE: fec_matricula
CLFC329,300,PRESENCIAL,2025-03-17,0.0,2025-06-27,2025-06-28,2025-06-27,2025-06-28,2025-06-27,2025-06-28,Reconocimiento
CLFC149,599,ONLINE,2025-03-06,12.0,,,,,2025-03-06,2025-03-06,ONLINE: fec_matricula
CLFC402,165,ONLINE,2025-03-21,4.0,,,,,2025-03-21,2025-03-21,ONLINE: fec_matricula
CLFC459,80,ONLINE,2025-03-26,4.0,,,,,2025-03-26,2025-03-26,ONLINE: fec_matricula
CLFC469,665,ONLINE,2025-03-26,12.0,,,,,2025-03-26,2025-03-26,ONLINE: fec_matricula
CLFC181,150,ONLINE,2025-03-09,4.0,,,,,2025-03-09,2025-03-09,ONLINE: fec_matricula
CLFC264,128,ONLINE,2025-03-13,4.0,,,,,2025-03-13,2025-03-13,ONLINE: fec_matricula
CLFC267,456,PRESENCIAL,2025-03-13,0.0,2025-04-12,2025-06-15,2025-04-12,2025-06-15,2025-04-12,2025-06-15,Reconocimiento
CLFC185,480,PRESENCIAL,2025-03-10,0.0,2025-04-12,2025-06-15,2025-04-12,2025-06-15,2025-04-12,2025-06-15,Reconocimiento
CLFC250,532,ONLINE,2025-03-12,12.0,,,,,2025-03-12,2025-03-12,ONLINE: fec_matricula
CLFC251,532,ONLINE,2025-03-12,12.0,,,,,2025-03-12,2025-03-12,ONLINE: fec_matricula
CLFC278,665,PRESENCIAL,2025-03-14,0.0,2025-04-26,2025-06-15,2025-04-26,2025-06-15,2025-04-26,2025-06-15,Reconocimiento
CLFC333,200,ONLINE,2025-03-17,4.0,,,,,2025-03-17,2025-03-17,ONLINE: fec_matricula
CLFC319,225,ONLINE,2025-03-17,4.0,,,,,2025-03-17,2025-03-17,ONLINE: fec_matricula
CLFC338,456,PRESENCIAL,2025-03-18,0.0,2025-04-04,2025-04-06,2025-04-04,2025-04-06,2025-04-04,2025-04-06,Reconocimiento
CLFC343,532,PRESENCIAL,2025-03-18,0.0,2025-06-21,2025-07-13,2025-06-21,2025-07-13,2025-06-21,2025-07-13,Reconocimiento
CLFC348,456,PRESENCIAL,2025-03-18,0.0,2025-04-04,2025-04-06,2025-04-04,2025-04-06,2025-04-04,2025-04-06,Reconocimiento
CLFC370,300,PRESENCIAL,2025-03-19,0.0,2025-05-16,2025-05-17,2025-05-16,2025-05-17,2025-05-16,2025-05-17,Reconocimiento
CLFC60,140,ONLINE,2025-02-26,4.0,,,,,2025-02-26,2025-02-26,ONLINE: fec_matricula
CLFC349,256,ONLINE,2025-03-18,4.0,,,,,2025-03-18,2025-03-18,ONLINE: fec_matricula
CLFC350,112,ONLINE,2025-03-18,4.0,,,,,2025-03-18,2025-03-18,ONLINE: fec_matricula
CLFC353,76,ONLINE,2025-03-18,4.0,,,,,2025-03-18,2025-03-18,ONLINE: fec_matricula
CLFC355,96,ONLINE,2025-03-18,4.0,,,,,2025-03-18,2025-03-18,ONLINE: fec_matricula
CLFC361,140,ONLINE,2025-03-18,4.0,,,,,2025-03-18,2025-03-18,ONLINE: fec_matricula
CLFC363,96,ONLINE,2025-03-19,4.0,,,,,2025-03-19,2025-03-19,ONLINE: fec_matricula
CLFC365,456,PRESENCIAL,2025-03-19,0.0,2025-04-04,2025-04-06,2025-04-04,2025-04-06,2025-04-04,2025-04-06,Reconocimiento
CLFC369,64,ONLINE,2025-03-19,4.0,,,,,2025-03-19,2025-03-19,ONLINE: fec_matricula
CLFC471,85,ONLINE,2025-03-26,4.0,,,,,2025-03-26,2025-03-26,ONLINE: fec_matricula
CLFC474,700,PRESENCIAL,2025-03-26,0.0,2025-06-21,2025-07-13,2025-06-21,2025-07-13,2025-06-21,2025-07-13,Reconocimiento
CLFC475,700,PRESENCIAL,2025-03-26,0.0,2025-06-21,2025-07-13,2025-06-21,2025-07-13,2025-06-21,2025-07-13,Reconocimiento
CLFC69,167,ONLINE,2025-02-27,4.0,,,,,2025-02-27,2025-02-27,ONLINE: fec_matricula
CLFC308,410,PRESENCIAL,2025-03-16,0.0,2025-04-04,2025-04-06,2025-04-04,2025-04-06,2025-04-04,2025-04-06,Reconocimiento
CLFC367,133,ONLINE,2025-03-19,4.0,,,,,2025-03-19,2025-03-19,ONLINE: fec_matricula
CLFC404,479,ONLINE,2025-03-22,12.0,,,,,2025-03-22,2025-03-22,ONLINE: fec_matricula
CLFC450,494,PRESENCIAL,2025-03-25,0.0,2025-04-25,2025-04-27,2025-04-25,2025-04-27,2025-04-25,2025-04-27,Reconocimiento
CLFC473,185,ONLINE,2025-03-26,4.0,,,,,2025-03-26,2025-03-26,ONLINE: fec_matricula
CLFC476,165,ONLINE,2025-03-27,4.0,,,,,2025-03-27,2025-03-27,ONLINE: fec_matricula
CLFC477,665,PRESENCIAL,2025-03-27,0.0,2025-04-26,2025-06-15,2025-04-26,2025-06-15,2025-04-26,2025-06-15,Reconocimiento
CLFC480,494,PRESENCIAL,2025-03-27,0.0,2025-04-25,2025-04-27,2025-04-25,2025-04-27,2025-04-25,2025-04-27,Reconocimiento
CLFC483,165,ONLINE,2025-03-27,4.0,,,,,2025-03-27,2025-03-27,ONLINE: fec_matricula
CLFC484,456,PRESENCIAL,2025-03-27,0.0,2025-04-04,2025-04-06,2025-04-04,2025-04-06,2025-04-04,2025-04-06,Reconocimiento
CLFC390,200,ONLINE,2025-03-20,4.0,,,,,2025-03-20,2025-03-20,ONLINE: fec_matricula
CLFC64,165,ONLINE,2025-02-27,4.0,,,,,2025-02-27,2025-02-27,ONLINE: fec_matricula
CLFC376,456,PRESENCIAL,2025-03-19,0.0,2025-06-28,2025-07-13,2025-06-28,2025-07-13,2025-06-28,2025-07-13,Reconocimiento
CLFC394,164,ONLINE,2025-03-21,4.0,,,,,2025-03-21,2025-03-21,ONLINE: fec_matricula
CLFC397,232,ONLINE,2025-03-21,4.0,,,,,2025-03-21,2025-03-21,ONLINE: fec_matricula
CLFC184,377,PRESENCIAL,2025-03-10,0.0,2025-04-04,2025-04-06,2025-04-04,2025-04-06,2025-04-04,2025-04-06,Reconocimiento
CLFC399,456,PRESENCIAL,2025-03-21,0.0,2025-05-09,2025-05-11,2025-05-09,2025-05-11,2025-05-09,2025-05-11,Reconocimiento
CLFC406,97,ONLINE,2025-03-22,4.0,,,,,2025-03-22,2025-03-22,ONLINE: fec_matricula
CLFC408,120,ONLINE,2025-03-22,4.0,,,,,2025-03-22,2025-03-22,ONLINE: fec_matricula
CLFC409,100,ONLINE,2025-03-22,4.0,,,,,2025-03-22,2025-03-22,ONLINE: fec_matricula
CLFC411,120,ONLINE,2025-03-22,4.0,,,,,2025-03-22,2025-03-22,ONLINE: fec_matricula
CLFC414,722,ONLINE,2025-03-23,12.0,,,,,2025-03-23,2025-03-23,ONLINE: fec_matricula
CLFC485,320,ONLINE,2025-03-27,4.0,,,,,2025-03-27,2025-03-27,ONLINE: fec_matricula
CLFC486,150,ONLINE,2025-03-27,4.0,,,,,2025-03-27,2025-03-27,ONLINE: fec_matricula
CLFC489,180,ONLINE,2025-03-27,4.0,,,,,2025-03-27,2025-03-27,ONLINE: fec_matricula
CLFC340,250,ONLINE,2025-03-18,4.0,,,,,2025-03-18,2025-03-18,ONLINE: fec_matricula
CLFC470,120,ONLINE,2025-03-26,4.0,,,,,2025-03-26,2025-03-26,ONLINE: fec_matricula
CLFC262,665,PRESENCIAL,2025-03-13,0.0,2025-04-26,2025-06-15,2025-04-26,2025-06-15,2025-04-26,2025-06-15,Reconocimiento
CLFC263,665,PRESENCIAL,2025-03-13,0.0,2025-04-26,2025-06-15,2025-04-26,2025-06-15,2025-04-26,2025-06-15,Reconocimiento
CLFC429,494,PRESENCIAL,2025-03-24,0.0,2025-04-25,2025-04-27,2025-04-25,2025-04-27,2025-04-25,2025-04-27,Reconocimiento
CLFC432,165,ONLINE,2025-03-24,4.0,,,,,2025-03-24,2025-03-24,ONLINE: fec_matricula
CLFC434,150,ONLINE,2025-03-24,4.0,,,,,2025-03-24,2025-03-24,ONLINE: fec_matricula
CLFC437,700,ONLINE,2025-03-24,12.0,,,,,2025-03-24,2025-03-24,ONLINE: fec_matricula
CLFC442,320,ONLINE,2025-03-24,4.0,,,,,2025-03-24,2025-03-24,ONLINE: fec_matricula
CLFC445,70,ONLINE,2025-03-25,4.0,,,,,2025-03-25,2025-03-25,ONLINE: fec_matricula
CLFC446,175,ONLINE,2025-03-25,4.0,,,,,2025-03-25,2025-03-25,ONLINE: fec_matricula
CLFC447,165,ONLINE,2025-03-25,4.0,,,,,2025-03-25,2025-03-25,ONLINE: fec_matricula
CLFC453,132,ONLINE,2025-03-25,4.0,,,,,2025-03-25,2025-03-25,ONLINE: fec_matricula
CLFC455,185,ONLINE,2025-03-25,4.0,,,,,2025-03-25,2025-03-25,ONLINE: fec_matricula
